 Eloss (eV)  Int (a.u.)  Int Err (a.u.)
 -15.790958        0.00        0.000000
 -15.781315        0.00        0.000000
 -15.771672        0.00        0.000000
 -15.762028        0.00        0.000000
 -15.752385        0.56        0.043205
 -15.742742        0.44        0.038297
 -15.733098        0.00        0.000000
 -15.723455        0.00        0.000000
 -15.713812        0.00        0.000000
 -15.704168        0.00        0.000000
 -15.694525        0.00        0.000000
 -15.684882        0.56        0.043205
 -15.675238        0.44        0.038297
 -15.665595        0.00        0.000000
 -15.655952        0.56        0.043205
 -15.646308        1.00        0.057735
 -15.636665        1.00        0.057735
 -15.627022        0.44        0.038297
 -15.617378        0.56        0.043205
 -15.607735        1.00        0.057735
 -15.598092        1.00        0.057735
 -15.588448        0.44        0.038297
 -15.578805        0.56        0.043205
 -15.569162        0.44        0.038297
 -15.559518        0.00        0.000000
 -15.549875        0.56        0.043205
 -15.540232        0.44        0.038297
 -15.530588        0.56        0.043205
 -15.520945        0.44        0.038297
 -15.511302        0.00        0.000000
 -15.501658        0.00        0.000000
 -15.492015        0.00        0.000000
 -15.482372        0.00        0.000000
 -15.472728        0.00        0.000000
 -15.463085        0.00        0.000000
 -15.453442        0.00        0.000000
 -15.443798        0.00        0.000000
 -15.434155        0.00        0.000000
 -15.424512        0.00        0.000000
 -15.414868        0.00        0.000000
 -15.405225        0.00        0.000000
 -15.395582        0.00        0.000000
 -15.385938        0.00        0.000000
 -15.376295        0.00        0.000000
 -15.366652        0.00        0.000000
 -15.357008        0.00        0.000000
 -15.347365        0.56        0.043205
 -15.337722        0.44        0.038297
 -15.328078        0.56        0.043205
 -15.318435        0.44        0.038297
 -15.308792        0.00        0.000000
 -15.299148        0.56        0.043205
 -15.289505        0.44        0.038297
 -15.279862        0.00        0.000000
 -15.270218        0.00        0.000000
 -15.260575        0.00        0.000000
 -15.250932        0.56        0.043205
 -15.241288        0.44        0.038297
 -15.231645        0.00        0.000000
 -15.222002        0.00        0.000000
 -15.212358        0.56        0.043205
 -15.202715        0.44        0.038297
 -15.193072        0.00        0.000000
 -15.183428        0.00        0.000000
 -15.173785        0.00        0.000000
 -15.164142        0.00        0.000000
 -15.154498        0.00        0.000000
 -15.144855        0.00        0.000000
 -15.135212        0.00        0.000000
 -15.125568        0.00        0.000000
 -15.115925        0.00        0.000000
 -15.106282        0.00        0.000000
 -15.096638        0.00        0.000000
 -15.086995        0.00        0.000000
 -15.077352        0.00        0.000000
 -15.067708        0.00        0.000000
 -15.058065        0.00        0.000000
 -15.048422        0.00        0.000000
 -15.038778        0.00        0.000000
 -15.029135        0.00        0.000000
 -15.019492        0.00        0.000000
 -15.009848        0.00        0.000000
 -15.000205        0.56        0.043205
 -14.990562        1.00        0.057735
 -14.980918        0.44        0.038297
 -14.971275        0.00        0.000000
 -14.961632        0.56        0.043205
 -14.951988        0.44        0.038297
 -14.942345        0.00        0.000000
 -14.932702        0.00        0.000000
 -14.923058        0.56        0.043205
 -14.913415        0.44        0.038297
 -14.903772        0.00        0.000000
 -14.894128        0.00        0.000000
 -14.884485        0.00        0.000000
 -14.874842        0.00        0.000000
 -14.865198        0.00        0.000000
 -14.855555        0.56        0.043205
 -14.845912        1.00        0.057735
 -14.836268        0.44        0.038297
 -14.826625        0.00        0.000000
 -14.816982        0.00        0.000000
 -14.807338        0.56        0.043205
 -14.797695        0.44        0.038297
 -14.788052        0.00        0.000000
 -14.778408        0.00        0.000000
 -14.768765        0.56        0.043205
 -14.759122        0.44        0.038297
 -14.749478        0.56        0.043205
 -14.739835        0.44        0.038297
 -14.730192        0.56        0.043205
 -14.720548        0.44        0.038297
 -14.710905        0.00        0.000000
 -14.701262        0.00        0.000000
 -14.691618        0.00        0.000000
 -14.681975        0.00        0.000000
 -14.672332        0.00        0.000000
 -14.662688        0.00        0.000000
 -14.653045        0.00        0.000000
 -14.643402        0.00        0.000000
 -14.633758        0.00        0.000000
 -14.624115        0.00        0.000000
 -14.614472        0.00        0.000000
 -14.604828        0.00        0.000000
 -14.595185        0.56        0.043205
 -14.585542        0.44        0.038297
 -14.575898        0.00        0.000000
 -14.566255        0.00        0.000000
 -14.556612        0.00        0.000000
 -14.546968        0.00        0.000000
 -14.537325        0.00        0.000000
 -14.527682        0.00        0.000000
 -14.518038        0.56        0.043205
 -14.508395        0.44        0.038297
 -14.498752        0.00        0.000000
 -14.489108        0.00        0.000000
 -14.479465        0.00        0.000000
 -14.469822        0.00        0.000000
 -14.460178        0.00        0.000000
 -14.450535        0.00        0.000000
 -14.440892        0.00        0.000000
 -14.431248        0.00        0.000000
 -14.421605        0.00        0.000000
 -14.411962        0.00        0.000000
 -14.402318        0.00        0.000000
 -14.392675        0.00        0.000000
 -14.383032        0.00        0.000000
 -14.373388        1.68        0.074833
 -14.363745        1.32        0.066332
 -14.354102        0.00        0.000000
 -14.344458        0.56        0.043205
 -14.334815        1.00        0.057735
 -14.325172        0.44        0.038297
 -14.315528        0.56        0.043205
 -14.305885        0.44        0.038297
 -14.296242        0.56        0.043205
 -14.286598        1.00        0.057735
 -14.276955        0.44        0.038297
 -14.267312        0.00        0.000000
 -14.257668        0.00        0.000000
 -14.248025        0.00        0.000000
 -14.238382        0.00        0.000000
 -14.228738        0.56        0.043205
 -14.219095        0.44        0.038297
 -14.209452        0.00        0.000000
 -14.199808        0.00        0.000000
 -14.190165        0.00        0.000000
 -14.180522        0.56        0.043205
 -14.170878        0.44        0.038297
 -14.161235        0.56        0.043205
 -14.151592        0.44        0.038297
 -14.141948        0.00        0.000000
 -14.132305        0.00        0.000000
 -14.122662        0.00        0.000000
 -14.113018        0.00        0.000000
 -14.103375        0.00        0.000000
 -14.093732        0.00        0.000000
 -14.084088        0.00        0.000000
 -14.074445        0.00        0.000000
 -14.064802        0.00        0.000000
 -14.055158        0.00        0.000000
 -14.045515        0.00        0.000000
 -14.035872        0.00        0.000000
 -14.026228        0.00        0.000000
 -14.016585        0.00        0.000000
 -14.006942        0.56        0.043205
 -13.997298        0.44        0.038297
 -13.987655        0.00        0.000000
 -13.978012        0.00        0.000000
 -13.968368        0.00        0.000000
 -13.958725        0.00        0.000000
 -13.949082        0.56        0.043205
 -13.939438        0.44        0.038297
 -13.929795        0.00        0.000000
 -13.920152        0.00        0.000000
 -13.910508        0.00        0.000000
 -13.900865        0.00        0.000000
 -13.891222        0.56        0.043205
 -13.881578        0.44        0.038297
 -13.871935        0.56        0.043205
 -13.862292        0.44        0.038297
 -13.852648        0.56        0.043205
 -13.843005        0.44        0.038297
 -13.833362        0.00        0.000000
 -13.823718        0.00        0.000000
 -13.814075        0.56        0.043205
 -13.804432        0.44        0.038297
 -13.794788        0.00        0.000000
 -13.785145        0.00        0.000000
 -13.775502        0.00        0.000000
 -13.765858        0.00        0.000000
 -13.756215        0.00        0.000000
 -13.746572        0.00        0.000000
