 Eloss (eV)  Int/Int(10Dq)  Int Err/Int(10Dq)
 -27.138409      -0.008672           0.000000
 -27.106684      -0.001684           0.000000
 -27.074959      -0.017920           0.000000
 -27.043234      -0.005110           0.000000
 -27.011509      -0.013463           0.000000
 -26.979784      -0.013816           0.000000
 -26.948059      -0.017411           0.000000
 -26.916334      -0.007467           0.000000
 -26.884609      -0.016724           0.000000
 -26.852884      -0.007935           0.000000
 -26.821160      -0.010405           0.000000
 -26.789435      -0.000166           0.000000
 -26.757710      -0.006678           0.000000
 -26.725985      -0.008328           0.000000
 -26.694260      -0.009878           0.000000
 -26.662535      -0.000285           0.000000
 -26.630810      -0.009155           0.000000
 -26.599085      -0.001451           0.000000
 -26.567360      -0.010825           0.000000
 -26.535635       0.004034           0.000228
 -26.503910       0.001033           0.000115
 -26.472186      -0.003141           0.000000
 -26.440461      -0.005133           0.000000
 -26.408736       0.005222           0.000260
 -26.377011      -0.005204           0.000000
 -26.345286      -0.007338           0.000000
 -26.313561      -0.001741           0.000000
 -26.281836       0.005003           0.000254
 -26.250111      -0.006131           0.000000
 -26.218386      -0.002256           0.000000
 -26.186661      -0.006106           0.000000
 -26.154936       0.012749           0.000406
 -26.123211       0.005309           0.000262
 -26.091487       0.007606           0.000313
 -26.059762      -0.001853           0.000000
 -26.028037       0.008523           0.000332
 -25.996312       0.005642           0.000270
 -25.964587       0.000136           0.000042
 -25.932862      -0.004972           0.000000
 -25.901137       0.008783           0.000337
 -25.869412       0.007085           0.000302
 -25.837687       0.003306           0.000207
 -25.805962       0.003979           0.000227
 -25.774237       0.012926           0.000408
 -25.742513       0.009963           0.000359
 -25.710788       0.005015           0.000254
 -25.679063       0.001117           0.000120
 -25.647338       0.008213           0.000326
 -25.615613       0.001022           0.000115
 -25.583888       0.006150           0.000282
 -25.552163       0.001359           0.000132
 -25.520438       0.013423           0.000416
 -25.488713       0.000377           0.000070
 -25.456988      -0.001705           0.000000
 -25.425263      -0.007284           0.000000
 -25.393539       0.003735           0.000220
 -25.361814      -0.002126           0.000000
 -25.330089      -0.003763           0.000000
 -25.298364      -0.010688           0.000000
 -25.266639       0.005593           0.000269
 -25.234914      -0.005129           0.000000
 -25.203189       0.001669           0.000147
 -25.171464      -0.001226           0.000000
 -25.139739       0.007349           0.000308
 -25.108014      -0.000096           0.000000
 -25.076289       0.003799           0.000221
 -25.044565      -0.007413           0.000000
 -25.012840       0.002961           0.000196
 -24.981115      -0.002579           0.000000
 -24.949390      -0.003068           0.000000
 -24.917665      -0.009438           0.000000
 -24.885940       0.012080           0.000395
 -24.854215       0.006081           0.000280
 -24.822490      -0.002065           0.000000
 -24.790765      -0.007460           0.000000
 -24.759040       0.001661           0.000146
 -24.727315      -0.001274           0.000000
 -24.695590       0.003982           0.000227
 -24.663866      -0.001358           0.000000
 -24.632141       0.008854           0.000338
 -24.600416       0.001933           0.000158
 -24.568691       0.005749           0.000272
 -24.536966      -0.007089           0.000000
 -24.505241       0.004295           0.000235
 -24.473516       0.004595           0.000244
 -24.441791      -0.006248           0.000000
 -24.410066      -0.011878           0.000000
 -24.378341       0.001785           0.000152
 -24.346616      -0.007339           0.000000
 -24.314892      -0.005280           0.000000
 -24.283167      -0.004283           0.000000
 -24.251442       0.008519           0.000332
 -24.219717      -0.002144           0.000000
 -24.187992      -0.000459           0.000000
 -24.156267      -0.010359           0.000000
 -24.124542       0.009719           0.000354
 -24.092817       0.000415           0.000073
 -24.061092      -0.002789           0.000000
 -24.029367      -0.008216           0.000000
 -23.997642       0.004101           0.000230
 -23.965918      -0.006018           0.000000
 -23.934193      -0.009668           0.000000
 -23.902468      -0.013859           0.000000
 -23.870743      -0.000206           0.000000
 -23.839018      -0.001500           0.000000
 -23.807293      -0.000050           0.000000
 -23.775568      -0.000909           0.000000
 -23.743843       0.012518           0.000402
 -23.712118       0.005179           0.000259
 -23.680393       0.005413           0.000264
 -23.648668       0.000950           0.000111
 -23.616944       0.003077           0.000199
 -23.585219      -0.012061           0.000000
 -23.553494      -0.003654           0.000000
 -23.521769      -0.005256           0.000000
 -23.490044       0.001946           0.000159
 -23.458319       0.001987           0.000160
 -23.426594      -0.009036           0.000000
 -23.394869      -0.016497           0.000000
 -23.363144      -0.003926           0.000000
 -23.331419      -0.006211           0.000000
 -23.299694       0.003324           0.000207
 -23.267969      -0.001437           0.000000
 -23.236245       0.013187           0.000413
 -23.204520       0.003472           0.000212
 -23.172795       0.001901           0.000157
 -23.141070      -0.005428           0.000000
 -23.109345       0.012877           0.000408
 -23.077620       0.002972           0.000196
 -23.045895      -0.002853           0.000000
 -23.014170      -0.003095           0.000000
 -22.982445       0.004868           0.000251
 -22.950720       0.003906           0.000225
 -22.918995       0.000459           0.000077
 -22.887271      -0.006177           0.000000
 -22.855546       0.004635           0.000245
 -22.823821       0.001545           0.000141
 -22.792096      -0.005480           0.000000
 -22.760371       0.001977           0.000160
 -22.728646       0.009084           0.000342
 -22.696921       0.004310           0.000236
 -22.665196       0.007993           0.000321
 -22.633471      -0.003605           0.000000
 -22.601746       0.003978           0.000227
 -22.570021      -0.004327           0.000000
 -22.538297      -0.004106           0.000000
 -22.506572      -0.013996           0.000000
 -22.474847       0.004321           0.000236
 -22.443122      -0.004882           0.000000
 -22.411397      -0.001372           0.000000
 -22.379672      -0.004087           0.000000
 -22.347947       0.010122           0.000361
 -22.316222       0.010923           0.000376
 -22.284497       0.010010           0.000359
 -22.252772       0.005415           0.000264
 -22.221047       0.020238           0.000511
 -22.189323       0.001746           0.000150
 -22.157598       0.001806           0.000153
 -22.125873      -0.009319           0.000000
 -22.094148       0.000087           0.000033
 -22.062423      -0.004313           0.000000
 -22.030698      -0.013033           0.000000
 -21.998973      -0.011228           0.000000
 -21.967248      -0.000762           0.000000
 -21.935523       0.000891           0.000107
 -21.903798      -0.000546           0.000000
 -21.872073      -0.006569           0.000000
 -21.840348       0.006829           0.000297
 -21.808624      -0.003549           0.000000
 -21.776899      -0.004546           0.000000
 -21.745174      -0.002110           0.000000
 -21.713449       0.003564           0.000214
 -21.681724      -0.001867           0.000000
 -21.649999      -0.004611           0.000000
 -21.618274      -0.011807           0.000000
 -21.586549       0.006352           0.000286
 -21.554824       0.000058           0.000027
 -21.523099      -0.002605           0.000000
 -21.491374      -0.007867           0.000000
 -21.459650       0.005782           0.000273
 -21.427925       0.008134           0.000324
 -21.396200       0.011972           0.000393
 -21.364475       0.001207           0.000125
 -21.332750       0.010396           0.000366
 -21.301025       0.009468           0.000350
 -21.269300       0.000790           0.000101
 -21.237575      -0.007608           0.000000
 -21.205850       0.018354           0.000487
 -21.174125       0.009127           0.000343
 -21.142400       0.005193           0.000259
 -21.110676       0.001714           0.000149
 -21.078951       0.001600           0.000144
 -21.047226       0.002158           0.000167
 -21.015501       0.002595           0.000183
 -20.983776      -0.003381           0.000000
 -20.952051       0.008223           0.000326
 -20.920326      -0.001757           0.000000
 -20.888601       0.002453           0.000178
 -20.856876      -0.009134           0.000000
 -20.825151       0.007071           0.000302
 -20.793426       0.008502           0.000331
 -20.761702       0.009581           0.000352
 -20.729977       0.004071           0.000229
 -20.698252       0.016021           0.000455
 -20.666527       0.007950           0.000320
 -20.634802       0.005840           0.000275
 -20.603077      -0.003500           0.000000
 -20.571352       0.007179           0.000304
 -20.539627      -0.002305           0.000000
 -20.507902      -0.002860           0.000000
 -20.476177      -0.005186           0.000000
 -20.444452       0.002228           0.000170
 -20.412727       0.005142           0.000258
 -20.381003       0.002625           0.000184
 -20.349278      -0.004385           0.000000
 -20.317553       0.011506           0.000385
 -20.285828      -0.008444           0.000000
 -20.254103      -0.010107           0.000000
 -20.222378      -0.002123           0.000000
 -20.190653       0.005052           0.000255
 -20.158928       0.003442           0.000211
 -20.127203       0.000555           0.000085
 -20.095478      -0.006113           0.000000
 -20.063753       0.004428           0.000239
 -20.032029      -0.001196           0.000000
 -20.000304      -0.000925           0.000000
 -19.968579       0.000124           0.000040
 -19.936854       0.011777           0.000390
 -19.905129       0.007571           0.000313
 -19.873404       0.002202           0.000169
 -19.841679      -0.004684           0.000000
 -19.809954       0.002642           0.000185
 -19.778229      -0.008374           0.000000
 -19.746504      -0.001794           0.000000
 -19.714779      -0.007353           0.000000
 -19.683055       0.006512           0.000290
 -19.651330       0.002483           0.000179
 -19.619605      -0.002595           0.000000
 -19.587880      -0.002624           0.000000
 -19.556155       0.003859           0.000223
 -19.524430       0.003184           0.000203
 -19.492705      -0.000121           0.000000
 -19.460980      -0.003798           0.000000
 -19.429255       0.007644           0.000314
 -19.397530      -0.003087           0.000000
 -19.365805       0.000615           0.000089
 -19.334081      -0.007232           0.000000
 -19.302356       0.006559           0.000291
 -19.270631       0.002533           0.000181
 -19.238906       0.000178           0.000048
 -19.207181      -0.002372           0.000000
 -19.175456       0.004112           0.000230
 -19.143731       0.000686           0.000094
 -19.112006      -0.005016           0.000000
 -19.080281      -0.005311           0.000000
 -19.048556       0.004691           0.000246
 -19.016831      -0.001322           0.000000
 -18.985106      -0.002734           0.000000
 -18.953382      -0.011819           0.000000
 -18.921657       0.001837           0.000154
 -18.889932       0.003103           0.000200
 -18.858207       0.002521           0.000180
 -18.826482      -0.004817           0.000000
 -18.794757       0.003452           0.000211
 -18.763032       0.001630           0.000145
 -18.731307       0.002907           0.000194
 -18.699582      -0.008026           0.000000
 -18.667857       0.010020           0.000360
 -18.636132       0.000739           0.000098
 -18.604408       0.000451           0.000076
 -18.572683      -0.009368           0.000000
 -18.540958       0.004213           0.000233
 -18.509233      -0.000641           0.000000
 -18.477508      -0.003938           0.000000
 -18.445783      -0.009877           0.000000
 -18.414058       0.007759           0.000316
 -18.382333       0.002954           0.000195
 -18.350608      -0.002092           0.000000
 -18.318883       0.007587           0.000313
 -18.287158       0.009732           0.000354
 -18.255434       0.007995           0.000321
 -18.223709       0.006754           0.000295
 -18.191984      -0.001959           0.000000
 -18.160259       0.006557           0.000291
 -18.128534       0.005054           0.000255
 -18.096809      -0.004867           0.000000
 -18.065084      -0.008404           0.000000
 -18.033359      -0.002157           0.000000
 -18.001634      -0.008492           0.000000
 -17.969909      -0.007019           0.000000
 -17.938184      -0.009785           0.000000
 -17.906460       0.007884           0.000319
 -17.874735      -0.006160           0.000000
 -17.843010      -0.004041           0.000000
 -17.811285      -0.007622           0.000000
 -17.779560       0.014502           0.000433
 -17.747835       0.005293           0.000261
 -17.716110       0.006712           0.000294
 -17.684385       0.002039           0.000162
 -17.652660       0.016988           0.000468
 -17.620935       0.007450           0.000310
 -17.589210      -0.000448           0.000000
 -17.557485      -0.002420           0.000000
 -17.525761       0.001998           0.000161
 -17.494036      -0.000430           0.000000
 -17.462311       0.007703           0.000315
 -17.430586       0.003906           0.000225
 -17.398861       0.009068           0.000342
 -17.367136      -0.001993           0.000000
 -17.335411       0.004138           0.000231
 -17.303686      -0.003520           0.000000
 -17.271961       0.005616           0.000269
 -17.240236      -0.004077           0.000000
 -17.208511      -0.001287           0.000000
 -17.176787      -0.002036           0.000000
 -17.145062       0.002860           0.000192
 -17.113337      -0.003113           0.000000
 -17.081612      -0.005546           0.000000
 -17.049887      -0.007315           0.000000
 -17.018162       0.009874           0.000357
 -16.986437       0.002870           0.000192
 -16.954712       0.000900           0.000108
 -16.922987      -0.006409           0.000000
 -16.891262       0.004346           0.000237
 -16.859537      -0.003532           0.000000
 -16.827813      -0.009204           0.000000
 -16.796088      -0.009749           0.000000
 -16.764363       0.003040           0.000198
 -16.732638      -0.006465           0.000000
 -16.700913      -0.003165           0.000000
 -16.669188      -0.009643           0.000000
 -16.637463       0.003568           0.000215
 -16.605738       0.000180           0.000048
 -16.574013      -0.001950           0.000000
 -16.542288      -0.007410           0.000000
 -16.510563       0.005365           0.000263
 -16.478839       0.000243           0.000056
 -16.447114      -0.005121           0.000000
 -16.415389      -0.005391           0.000000
 -16.383664       0.003824           0.000222
 -16.351939      -0.004380           0.000000
 -16.320214      -0.002954           0.000000
 -16.288489      -0.009473           0.000000
 -16.256764      -0.000160           0.000000
 -16.225039      -0.005587           0.000000
 -16.193314      -0.003231           0.000000
 -16.161589      -0.006168           0.000000
 -16.129864       0.005330           0.000262
 -16.098140       0.005549           0.000268
 -16.066415      -0.001615           0.000000
 -16.034690      -0.009528           0.000000
 -16.002965       0.002061           0.000163
 -15.971240      -0.005629           0.000000
 -15.939515      -0.011455           0.000000
 -15.907790      -0.007060           0.000000
 -15.876065       0.005835           0.000274
 -15.844340      -0.004121           0.000000
 -15.812615       0.001435           0.000136
 -15.780890      -0.007588           0.000000
 -15.749166       0.014471           0.000432
 -15.717441       0.006337           0.000286
 -15.685716       0.003765           0.000220
 -15.653991       0.002673           0.000186
 -15.622266       0.020409           0.000513
 -15.590541       0.010117           0.000361
 -15.558816       0.011071           0.000378
 -15.527091      -0.002685           0.000000
 -15.495366       0.004781           0.000248
 -15.463641       0.000804           0.000102
 -15.431916       0.000503           0.000081
 -15.400192      -0.006449           0.000000
 -15.368467       0.001910           0.000157
 -15.336742      -0.000813           0.000000
 -15.305017       0.005783           0.000273
 -15.273292      -0.005847           0.000000
 -15.241567       0.008653           0.000334
 -15.209842       0.007694           0.000315
 -15.178117       0.003182           0.000203
 -15.146392      -0.000778           0.000000
 -15.114667       0.013080           0.000411
 -15.082942       0.008617           0.000334
 -15.051218      -0.000314           0.000000
 -15.019493      -0.006122           0.000000
 -14.987768       0.010619           0.000370
 -14.956043       0.005222           0.000260
 -14.924318      -0.000003           0.000000
 -14.892593      -0.006462           0.000000
 -14.860868       0.010785           0.000373
 -14.829143       0.001700           0.000148
 -14.797418       0.004071           0.000229
 -14.765693      -0.011290           0.000000
 -14.733968       0.005386           0.000264
 -14.702243       0.000349           0.000067
 -14.670519       0.008121           0.000324
